transition,trans_no,avg_time,SE_time
no_armature->armature,20,4.4914115036087905,0.10696674935464255
no_armature->armature,21,4.177758080129705,0.09990737332240991
no_armature->armature,22,3.9040754987325563,0.0939427327579167
no_armature->armature,23,3.588754556584794,0.08486747656336587
no_armature->armature,24,3.291342005607767,0.08290249024899465
no_armature->armature,25,3.059948912989064,0.08397170320266004
no_armature->armature,26,2.7885368086701154,0.08007587645270609
no_armature->armature,27,2.509944603611182,0.07999336013452284
no_armature->armature,28,2.3375744571911223,0.07779394156294829
no_armature->armature,29,2.153696049753335,0.07456003429272279
no_armature->armature,30,1.9694365327335075,0.07238925605589996
no_armature->armature,31,1.8152305033922203,0.07012820535187797
no_armature->armature,32,1.6444939335565092,0.06307356237725986
no_armature->armature,33,1.4726302536900966,0.0603618898043458
no_armature->armature,34,1.3697580116274162,0.059481890635607215
no_armature->armature,35,1.227387812025785,0.053427518408465734
no_armature->armature,36,1.10778599179802,0.04981118724293164
no_armature->armature,37,1.0218547977146517,0.04751326705630821
no_armature->armature,38,0.9371385754318612,0.04616471045100958
no_armature->armature,39,0.846292053628773,0.04240820590687893
no_armature->armature,40,0.765009360996971,0.04103939339579224
no_armature->armature,41,0.6637212699196232,0.038720360080067205
no_armature->armature,42,0.5840337146825104,0.035674387362984554
no_armature->armature,43,0.520046307304707,0.03255676517221128
no_armature->armature,44,0.43721922710062255,0.0286384831978458
no_armature->armature,45,0.37973890672933613,0.026939823304646567
no_armature->armature,46,0.332845207889609,0.026232693417739348
no_armature->armature,47,0.29055001262668295,0.02455668774303954
no_armature->armature,48,0.24885070964649067,0.021423968964571098
no_armature->armature,49,0.23447146282912504,0.022053783548927345
no_armature->armature,50,0.21150582592920678,0.020602199849771335
no_armature->armature,51,0.19449131100090633,0.02027216301761219
no_armature->armature,52,0.16487621458940044,0.020760968439464813
