"","time","transition","N_sim","trans_no","edge.length"
"193",7.66735318142651,"armature->no_armature",56,2,14
"194",7.67728822895583,"armature->no_armature",5,2,14
"195",7.71609525837159,"armature->no_armature",15,1,14
"196",7.75406308067403,"no_armature->armature",67,2,14
"197",7.7822536080661,"armature->no_armature",39,2,14
"198",7.83075843278594,"armature->no_armature",80,1,14
"199",7.86937015100657,"armature->no_armature",39,3,14
"200",7.92087302669236,"armature->no_armature",91,4,15
"201",8.07656358375291,"armature->no_armature",40,2,15
"202",8.15021044893258,"armature->no_armature",79,3,15
"203",8.17127329438249,"armature->no_armature",28,1,15
"204",8.18911586416715,"armature->no_armature",90,3,16
"205",8.19789497205352,"armature->no_armature",59,1,16
"206",8.20592898609623,"armature->no_armature",77,2,16
"207",8.22544286441825,"armature->no_armature",23,1,16
"208",8.24176907136038,"armature->no_armature",4,3,16
"209",8.25889561449107,"armature->no_armature",87,4,16
"210",8.33314482734251,"armature->no_armature",4,4,16
"211",8.33848249620782,"armature->no_armature",38,1,16
"212",8.35775789184787,"armature->no_armature",22,3,16
"213",8.36764683066907,"armature->no_armature",10,3,16
"214",8.38119447671651,"no_armature->armature",93,3,16
"215",8.40187230369382,"armature->no_armature",60,1,16
"216",8.40566986800654,"armature->no_armature",30,5,16
"217",8.44203706372034,"armature->no_armature",17,1,16
"218",8.51240759530127,"armature->no_armature",26,4,17
"219",8.62031841097235,"armature->no_armature",88,8,18
"220",8.63240739884576,"no_armature->armature",67,3,18
"221",8.68781012072082,"armature->no_armature",23,2,18
"222",8.70387959535223,"no_armature->armature",50,2,18
"223",8.7384159213647,"armature->no_armature",51,3,18
"224",8.74750124014763,"no_armature->armature",14,1,18
"225",8.77275537521827,"armature->no_armature",26,5,18
"226",8.77545397688273,"armature->no_armature",52,1,18
"227",8.78235495797495,"armature->no_armature",46,1,18
"228",8.82533426850769,"armature->no_armature",18,1,18
"229",8.85307944193061,"armature->no_armature",82,1,19
"230",8.85680253556664,"armature->no_armature",40,3,19
"231",8.86513877432138,"armature->no_armature",20,1,19
"232",8.89057874352775,"armature->no_armature",89,1,19
"233",8.90638514962619,"armature->no_armature",16,1,19
"234",8.92748973411652,"armature->no_armature",98,6,19
"235",8.94950071674398,"armature->no_armature",25,4,19
"236",8.95531361555697,"armature->no_armature",46,2,19
"237",8.97083432182231,"armature->no_armature",82,2,19
"238",8.98761025391208,"armature->no_armature",72,2,19
"239",9.03248267756182,"armature->no_armature",20,2,19
"240",9.06735272655832,"armature->no_armature",93,1,19
"241",9.08420720525468,"armature->no_armature",14,6,19
"242",9.10286058675811,"armature->no_armature",15,2,19
"243",9.10768863882357,"no_armature->armature",28,3,19
"244",9.12126823894121,"armature->no_armature",73,2,19
"245",9.19798750600905,"armature->no_armature",51,4,19
"246",9.28143721179807,"armature->no_armature",67,1,19
"247",9.3065759320906,"armature->no_armature",73,3,19
"248",9.3539110979386,"armature->no_armature",20,3,19
"249",9.35398255042166,"armature->no_armature",60,2,19
"250",9.38905018114217,"armature->no_armature",25,5,19
"251",9.40486570802043,"armature->no_armature",6,1,19
"252",9.41586214167004,"armature->no_armature",30,6,19
"253",9.43775785163411,"armature->no_armature",49,5,19
"254",9.47628572475581,"armature->no_armature",21,2,20
"255",9.47760161138616,"armature->no_armature",51,5,20
"256",9.48127397220831,"armature->no_armature",13,1,20
"257",9.56345297358658,"armature->no_armature",7,1,21
"258",9.5730670261549,"armature->no_armature",90,4,21
"259",9.58599550451705,"armature->no_armature",76,1,21
"260",9.71559264254492,"no_armature->armature",49,1,21
"261",9.73838372930065,"armature->no_armature",29,1,21
"262",9.77998169542076,"armature->no_armature",56,3,21
"263",9.84321516676709,"no_armature->armature",23,2,21
"264",9.87492206965363,"armature->no_armature",97,1,21
"265",9.99531903345932,"armature->no_armature",7,2,22
"266",10.0094928163083,"armature->no_armature",4,5,22
"267",10.0387018319479,"armature->no_armature",4,6,22
"268",10.139810413276,"armature->no_armature",36,5,22
"269",10.1432856886827,"armature->no_armature",12,5,22
"270",10.1826966351762,"armature->no_armature",96,1,22
"271",10.1892150262285,"armature->no_armature",62,1,22
"272",10.2043896569847,"armature->no_armature",54,1,22
"273",10.2539161410182,"armature->no_armature",87,5,22
"274",10.2746636348216,"armature->no_armature",87,6,22
"275",10.3190308364964,"armature->no_armature",11,1,22
"276",10.3360810791046,"armature->no_armature",86,1,22
"277",10.3577583670152,"armature->no_armature",22,4,22
"278",10.4373458550877,"armature->no_armature",7,3,22
"279",10.440151010123,"armature->no_armature",12,6,22
"280",10.4414176553348,"armature->no_armature",43,1,22
"281",10.4504955723477,"armature->no_armature",37,1,22
"282",10.4522335468043,"armature->no_armature",36,6,22
"283",10.4650325992462,"armature->no_armature",41,2,22
"284",10.4934249560071,"armature->no_armature",31,1,22
"285",10.54142534905,"armature->no_armature",14,7,22
"286",10.5993442935271,"armature->no_armature",53,4,22
"287",10.6781844023396,"armature->no_armature",59,2,22
"288",10.7693693166281,"armature->no_armature",91,5,22
"289",10.7854189817343,"armature->no_armature",13,2,22
"290",10.786317449037,"armature->no_armature",93,2,22
"291",10.8065117971191,"armature->no_armature",69,1,22
"292",10.8139140503402,"armature->no_armature",80,2,22
"293",10.8296994872221,"armature->no_armature",61,1,22
"294",10.8311614605279,"armature->no_armature",39,4,22
"295",10.8583789645441,"armature->no_armature",79,4,22
"296",10.8706076843069,"armature->no_armature",67,2,22
"297",10.8862433321813,"armature->no_armature",53,5,22
"298",10.9220637663669,"armature->no_armature",56,4,22
"299",10.9238744669791,"armature->no_armature",17,2,22
"300",10.9745375582737,"armature->no_armature",47,1,23
"301",10.9765082392483,"armature->no_armature",19,1,23
"302",11.0304004264893,"armature->no_armature",88,9,23
"303",11.0652447232687,"armature->no_armature",9,3,23
"304",11.0805743037075,"armature->no_armature",55,3,23
"305",11.1184816082184,"armature->no_armature",84,2,23
"306",11.1379733111513,"armature->no_armature",83,1,23
"307",11.1452662135467,"armature->no_armature",66,1,23
"308",11.1565876007337,"armature->no_armature",42,2,23
"309",11.1597709467154,"armature->no_armature",28,2,23
"310",11.1658163070824,"armature->no_armature",38,2,23
"311",11.175918855489,"no_armature->armature",90,2,23
"312",11.1790528429541,"armature->no_armature",95,1,23
"313",11.1896957557527,"no_armature->armature",93,4,23
"314",11.2131403548604,"armature->no_armature",30,7,23
"315",11.278558007793,"armature->no_armature",44,1,24
"316",11.3018406071898,"armature->no_armature",34,1,24
"317",11.3024624141614,"armature->no_armature",32,1,24
"318",11.3089748828121,"armature->no_armature",97,2,25
"319",11.3126969985744,"armature->no_armature",10,4,25
"320",11.3835120909853,"armature->no_armature",88,10,25
"321",11.3882420353884,"armature->no_armature",11,2,25
"322",11.3926622214979,"armature->no_armature",91,6,25
"323",11.40824585595,"armature->no_armature",80,3,25
"324",11.4087362214938,"armature->no_armature",19,2,25
"325",11.4276524545734,"armature->no_armature",28,3,25
"326",11.4543137008522,"armature->no_armature",12,7,25
"327",11.5311291293142,"armature->no_armature",82,3,26
"328",11.5812483629026,"armature->no_armature",25,6,26
"329",11.6021270050128,"armature->no_armature",85,1,26
"330",11.6188518133545,"armature->no_armature",90,5,26
"331",11.6242752182491,"armature->no_armature",26,6,26
"332",11.6317925757325,"armature->no_armature",10,5,26
"333",11.657605284662,"no_armature->armature",63,2,27
"334",11.6580390787677,"armature->no_armature",48,1,27
"335",11.6583988242983,"armature->no_armature",50,5,27
"336",11.6948762909459,"armature->no_armature",50,6,28
"337",11.6967485165235,"armature->no_armature",79,5,28
"338",11.7227043810517,"armature->no_armature",44,2,28
"339",11.7338009591695,"armature->no_armature",70,5,28
"340",11.7621369959318,"armature->no_armature",70,6,28
"341",11.7633756334931,"armature->no_armature",82,4,28
"342",11.7721327341352,"armature->no_armature",70,7,28
"343",11.7978139224018,"armature->no_armature",96,2,28
"344",11.8003685924811,"armature->no_armature",40,4,28
"345",11.8069109186757,"armature->no_armature",42,3,28
"346",11.8452131037386,"armature->no_armature",94,1,28
"347",11.8650976226272,"armature->no_armature",24,1,28
"348",11.8711318924133,"armature->no_armature",63,1,28
"349",11.8726034575207,"armature->no_armature",98,7,28
"350",11.8766906099121,"armature->no_armature",3,2,28
"351",11.8810876572357,"armature->no_armature",40,5,28
"352",11.9106442168789,"armature->no_armature",67,3,28
"353",11.9175959583703,"armature->no_armature",13,3,29
"354",11.9298310447605,"armature->no_armature",39,5,29
"355",11.9443496338984,"armature->no_armature",39,6,29
"356",11.9480295582682,"armature->no_armature",47,2,29
"357",11.9605221709086,"armature->no_armature",18,2,29
"358",11.962124945208,"no_armature->armature",92,2,29
"359",11.98227511586,"armature->no_armature",80,4,29
"360",11.9967327331927,"armature->no_armature",33,3,29
"361",12.0255626203938,"armature->no_armature",87,7,29
"362",12.0400833883282,"armature->no_armature",51,6,29
"363",12.0409113034692,"armature->no_armature",8,2,29
"364",12.0623611443629,"armature->no_armature",68,1,29
"365",12.0785066674023,"armature->no_armature",9,4,29
"366",12.0827654077238,"armature->no_armature",3,3,29
"367",12.0871952163179,"armature->no_armature",16,2,29
"368",12.128534162057,"armature->no_armature",25,7,29
"369",12.141527856497,"armature->no_armature",97,3,29
