"","time","transition","N_sim","trans_no","edge.length"
"9478",203.344810995047,"herb_small->non_herb_small",96,27,469
"9479",203.346353861663,"herb_small->non_herb_large",3,1,469
"9480",203.348378989462,"herb_small->non_herb_small",84,22,469
"9481",203.349567647937,"non_herb_large->non_herb_small",33,20,469
"9482",203.350858569092,"herb_small->non_herb_small",62,34,470
"9483",203.353562385465,"non_herb_small->herb_small",96,33,470
"9484",203.354509530038,"non_herb_large->non_herb_small",7,19,470
"9485",203.356513861373,"herb_small->non_herb_small",35,29,470
"9486",203.356907885788,"herb_large->non_herb_large",94,2,470
"9487",203.357736411351,"non_herb_small->herb_small",86,17,470
"9488",203.363604257773,"herb_small->non_herb_small",51,23,470
"9489",203.364501816448,"herb_small->non_herb_small",46,23,470
"9490",203.367079138971,"herb_large->herb_small",28,7,470
"9491",203.368566270039,"herb_small->non_herb_small",19,27,470
"9492",203.369062319299,"non_herb_large->non_herb_small",58,22,470
"9493",203.375211749685,"non_herb_small->non_herb_large",56,10,470
"9494",203.376191330159,"herb_small->non_herb_small",91,18,470
"9495",203.377571295303,"herb_small->non_herb_small",17,26,470
"9496",203.377622201445,"non_herb_large->non_herb_small",72,20,470
"9497",203.379126881645,"herb_small->non_herb_small",48,23,470
"9498",203.380979826677,"herb_small->non_herb_small",77,30,470
"9499",203.381622600328,"herb_small->non_herb_small",91,19,470
"9500",203.381762806996,"non_herb_small->herb_small",43,24,470
"9501",203.383885505052,"herb_small->non_herb_small",98,29,470
"9502",203.386078950835,"non_herb_small->non_herb_large",50,10,470
"9503",203.387451631951,"non_herb_small->non_herb_large",41,9,470
"9504",203.388560817118,"non_herb_large->herb_large",57,6,470
"9505",203.389039233613,"herb_small->non_herb_small",93,30,470
"9506",203.38974374929,"herb_small->herb_large",94,6,470
"9507",203.390273266607,"herb_small->herb_large",51,9,470
"9508",203.390507388031,"herb_small->non_herb_small",84,23,470
"9509",203.394543041435,"non_herb_small->herb_small",58,25,471
"9510",203.395218697788,"non_herb_large->non_herb_small",12,17,471
"9511",203.396063487561,"non_herb_small->herb_small",83,20,471
"9512",203.397855578287,"non_herb_small->herb_small",99,13,471
"9513",203.398087937613,"non_herb_large->non_herb_small",4,24,471
"9514",203.398192095595,"non_herb_small->non_herb_large",32,9,471
"9515",203.398470835637,"herb_small->non_herb_small",97,19,471
"9516",203.401157183052,"herb_small->herb_large",55,9,471
"9517",203.404345242007,"non_herb_small->herb_small",86,18,471
"9518",203.404488848536,"non_herb_small->herb_small",27,22,471
"9519",203.407448836454,"herb_small->non_herb_small",45,24,471
"9520",203.409310257061,"non_herb_small->herb_small",37,25,471
"9521",203.410146136434,"non_herb_small->non_herb_large",55,6,471
"9522",203.410342171184,"non_herb_small->herb_small",71,17,471
"9523",203.415596955641,"non_herb_small->herb_small",32,27,471
"9524",203.421976556882,"herb_small->non_herb_small",59,35,471
"9525",203.422441662692,"non_herb_large->non_herb_small",78,19,471
"9526",203.425830737264,"herb_large->herb_small",51,4,471
"9527",203.427592358871,"non_herb_small->herb_small",78,25,471
"9528",203.431070203675,"non_herb_small->herb_small",23,18,471
"9529",203.431093676487,"herb_small->non_herb_small",53,31,471
"9530",203.434360308512,"herb_small->non_herb_small",91,20,471
"9531",203.434463866745,"non_herb_large->non_herb_small",91,24,471
"9532",203.435815633917,"non_herb_large->non_herb_small",78,20,471
"9533",203.437599349863,"non_herb_small->herb_small",49,21,471
"9534",203.439074144208,"non_herb_small->herb_small",30,22,471
"9535",203.439162255373,"herb_small->non_herb_small",83,32,471
"9536",203.439611072676,"non_herb_small->herb_small",91,16,471
"9537",203.44076296523,"non_herb_small->herb_small",100,27,471
"9538",203.441803739619,"non_herb_small->herb_small",97,19,471
"9539",203.443751416858,"non_herb_small->herb_small",29,20,471
"9540",203.449024582717,"herb_small->non_herb_small",60,25,471
"9541",203.450895217035,"non_herb_small->herb_small",78,26,472
"9542",203.45143669185,"herb_large->herb_small",19,3,472
"9543",203.452881192565,"non_herb_small->non_herb_large",75,6,473
"9544",203.45426118193,"non_herb_small->herb_small",40,37,473
"9545",203.456170951894,"non_herb_large->herb_small",25,2,473
"9546",203.456527028284,"herb_small->non_herb_small",21,27,473
"9547",203.457191761212,"non_herb_small->non_herb_large",7,8,473
"9548",203.46331466256,"herb_small->non_herb_small",57,28,473
"9549",203.465627790358,"non_herb_small->herb_small",84,25,473
"9550",203.467748208542,"herb_small->herb_large",3,8,473
"9551",203.468238616017,"non_herb_small->herb_small",16,23,474
"9552",203.47246229839,"non_herb_large->non_herb_small",49,14,474
"9553",203.474142040062,"non_herb_small->non_herb_large",33,10,474
"9554",203.476209928011,"herb_small->non_herb_small",16,27,474
"9555",203.47718156638,"herb_small->non_herb_small",75,37,474
"9556",203.477485763191,"non_herb_small->herb_small",59,25,474
"9557",203.480912886954,"herb_small->non_herb_small",10,32,474
"9558",203.482831712275,"non_herb_large->non_herb_small",90,15,474
"9559",203.486353840621,"non_herb_small->herb_small",29,21,474
"9560",203.487406319633,"herb_small->non_herb_small",10,33,474
"9561",203.490424243581,"non_herb_large->non_herb_small",18,16,474
"9562",203.49115733636,"herb_small->non_herb_small",24,25,474
"9563",203.491290255961,"non_herb_large->non_herb_small",92,34,474
"9564",203.492388366771,"herb_small->non_herb_small",15,24,474
"9565",203.492476395673,"non_herb_large->non_herb_small",34,17,474
"9566",203.493406887775,"non_herb_small->herb_small",15,24,474
"9567",203.494211426581,"herb_large->non_herb_large",78,2,474
"9568",203.496592931685,"non_herb_large->herb_large",76,6,474
"9569",203.500823421016,"non_herb_small->herb_small",72,21,475
"9570",203.500863846146,"herb_small->herb_large",7,8,475
"9571",203.503603954448,"herb_small->non_herb_small",55,28,476
"9572",203.504024120809,"non_herb_small->herb_small",76,30,476
"9573",203.504094602091,"non_herb_small->non_herb_large",80,6,476
"9574",203.505307537458,"non_herb_small->herb_small",90,24,476
"9575",203.506713990539,"herb_small->herb_large",97,6,476
"9576",203.50711168113,"non_herb_large->non_herb_small",51,25,476
"9577",203.511772134322,"non_herb_small->herb_small",100,28,476
"9578",203.512922172998,"non_herb_large->non_herb_small",21,13,476
"9579",203.513169663563,"non_herb_small->herb_small",43,25,476
"9580",203.515931949582,"non_herb_small->non_herb_large",99,11,476
"9581",203.517155640283,"non_herb_large->non_herb_small",27,20,476
"9582",203.517358168685,"herb_small->non_herb_small",27,34,476
"9583",203.520019253282,"herb_small->non_herb_small",80,27,476
"9584",203.52031135861,"non_herb_small->non_herb_large",99,12,476
"9585",203.52319518726,"non_herb_small->herb_small",68,24,477
