"","transition","time","N_sim","trans_no"
"13417","non_herb_small->herb_small",202.10805633304,38,23
"13418","herb_small->non_herb_small",202.134093710361,38,32
"13419","herb_small->non_herb_small",202.147911681786,38,33
"13420","non_herb_large->non_herb_small",202.278241068054,38,20
"13421","non_herb_large->non_herb_small",202.397642586594,38,21
"13422","herb_small->non_herb_small",202.495335935234,38,34
"13423","herb_small->non_herb_small",202.783202411701,38,35
"13424","herb_small->non_herb_small",202.842216299304,38,36
"13425","herb_small->non_herb_small",203.107430197818,38,37
"13426","non_herb_large->non_herb_small",203.129196029341,38,22
"13427","non_herb_large->non_herb_small",203.560776074295,38,23
"13428","herb_small->non_herb_small",204.199186431563,38,38
"13429","herb_small->non_herb_small",204.313521933974,38,39
"13430","herb_small->non_herb_small",204.379555311678,38,40
"13431","herb_small->non_herb_small",204.41272856232,38,41
"13432","non_herb_small->herb_small",204.786173002262,38,24
"13433","herb_small->non_herb_small",204.827095328382,38,42
"13434","non_herb_large->non_herb_small",204.90313195383,38,24
"13435","non_herb_large->non_herb_small",205.040163381546,38,25
"13436","non_herb_small->herb_small",205.06198314194,38,25
"13437","herb_small->herb_large",205.141595064554,38,6
"13438","non_herb_large->non_herb_small",205.394087333379,38,26
"13439","non_herb_small->non_herb_large",205.40533196744,38,12
"13440","non_herb_small->non_herb_large",205.412104734691,38,13
"13441","herb_small->non_herb_small",205.517644080413,38,43
"13442","herb_small->non_herb_small",205.890544045663,38,44
"13443","non_herb_small->herb_small",206.061286502496,38,26
"13444","non_herb_small->herb_small",206.072041975064,38,27
"13445","herb_small->non_herb_small",206.145863029885,38,45
"13446","herb_small->non_herb_small",206.197119479885,38,46
"13447","herb_small->herb_large",206.247993003964,38,7
"13448","herb_small->non_herb_small",206.253723043572,38,47
"13449","non_herb_small->herb_small",206.49886216882,38,28
"13450","herb_small->non_herb_small",206.534723168461,38,48
"13451","herb_small->non_herb_large",206.603582775036,38,1
"13452","herb_large->non_herb_large",206.678756409326,38,3
"13453","non_herb_large->non_herb_small",207.178911937868,38,27
"13454","herb_small->non_herb_small",207.34741930615,38,49
"13455","non_herb_small->herb_small",207.811357939737,38,29
"13456","herb_small->non_herb_small",207.910014339503,38,50
"13457","non_herb_small->herb_small",207.914263409,38,30
"13458","non_herb_large->non_herb_small",208.022024437022,38,28
"13459","herb_small->herb_large",208.035232091171,38,8
"13460","herb_large->herb_small",208.17670983135,38,4
"13461","non_herb_small->non_herb_large",208.308746142475,38,14
"13462","herb_small->non_herb_small",208.625775153824,38,51
"13463","non_herb_large->non_herb_small",208.634941153957,38,29
"13464","non_herb_large->non_herb_small",208.643430578266,38,30
"13465","herb_small->non_herb_small",208.754938206868,38,52
"13466","non_herb_small->herb_small",208.988446036893,38,31
"13467","non_herb_small->non_herb_large",209.01230468381,38,15
"13468","herb_small->herb_large",209.067538436215,38,9
"13469","herb_small->non_herb_small",209.109683448665,38,53
"13470","non_herb_large->non_herb_small",209.307081846595,38,31
"13471","herb_small->non_herb_small",209.310252347512,38,54
"13472","herb_large->herb_small",209.311740539875,38,5
"13473","non_herb_small->herb_small",209.328634091622,38,32
"13474","herb_large->herb_small",209.463311444653,38,6
"13475","non_herb_small->herb_small",209.491133177026,38,33
"13476","non_herb_small->herb_small",209.624261558274,38,34
"13477","non_herb_small->herb_small",209.640405365084,38,35
"13478","herb_small->non_herb_small",209.713955724305,38,55
"13479","non_herb_small->herb_small",209.787362843474,38,36
"13480","herb_small->herb_large",209.835529330316,38,10
