"","transition","time","N_sim","trans_no"
"10266","non_herb_small->non_herb_large",212.404707246261,29,14
"10267","non_herb_small->herb_small",212.433792035949,29,56
"10268","non_herb_small->herb_small",212.454402659956,29,57
"10269","non_herb_small->herb_small",212.500560324402,29,58
"10270","herb_small->non_herb_small",212.66261828792,29,44
"10271","non_herb_small->herb_small",212.673926681306,29,59
"10272","non_herb_small->herb_small",212.68807649655,29,60
"10273","non_herb_small->herb_small",212.737240132946,29,61
"10274","non_herb_large->herb_small",212.767616863331,29,1
"10275","non_herb_small->herb_small",212.783391870819,29,62
"10276","non_herb_small->non_herb_large",212.824371259061,29,15
"10277","non_herb_small->herb_small",212.886858755722,29,63
"10278","non_herb_small->herb_small",212.97586610749,29,64
"10279","non_herb_small->non_herb_large",213.008863630955,29,16
"10280","non_herb_large->herb_large",213.035139488789,29,9
"10281","herb_small->non_herb_small",213.098144551374,29,45
"10282","non_herb_large->non_herb_small",213.103004449115,29,36
"10283","non_herb_small->non_herb_large",213.273786436228,29,17
"10284","non_herb_large->herb_large",213.35154267284,29,10
"10285","herb_small->non_herb_small",213.38991963957,29,46
"10286","non_herb_small->herb_small",213.537921612646,29,65
"10287","non_herb_small->herb_small",213.627883160847,29,66
"10288","non_herb_small->non_herb_large",213.651605585264,29,18
"10289","herb_small->non_herb_small",213.704491435191,29,47
"10290","non_herb_small->herb_small",213.706797297043,29,67
"10291","herb_small->herb_large",213.738099251737,29,12
"10292","non_herb_large->non_herb_small",213.833537377107,29,37
"10293","non_herb_small->herb_small",213.870376741773,29,68
"10294","herb_small->non_herb_small",213.876442094853,29,48
"10295","non_herb_small->herb_small",213.92374895215,29,69
"10296","non_herb_small->herb_small",213.926893280082,29,70
"10297","non_herb_small->herb_small",213.935208058433,29,71
"10298","non_herb_small->herb_small",213.976517204973,29,72
"10299","non_herb_small->non_herb_large",213.985622582252,29,19
"10300","herb_small->non_herb_small",214.06482472514,29,49
"10301","non_herb_small->herb_small",214.066569823508,29,73
"10302","non_herb_large->non_herb_small",214.06733124859,29,38
"10303","non_herb_large->non_herb_small",214.090999341003,29,39
"10304","non_herb_small->herb_small",214.270065964652,29,74
"10305","herb_small->herb_large",214.273455812401,29,13
"10306","herb_small->non_herb_small",214.329747670673,29,50
"10307","herb_small->herb_large",214.336013791894,29,14
"10308","herb_small->non_herb_small",214.430282350643,29,51
"10309","herb_small->non_herb_small",214.468394152987,29,52
"10310","non_herb_large->non_herb_small",214.554468555076,29,40
"10311","non_herb_small->herb_small",214.586841034832,29,75
"10312","herb_small->non_herb_small",214.688435524033,29,53
"10313","non_herb_small->herb_small",214.763946507457,29,76
"10314","herb_large->non_herb_large",214.778229633885,29,4
"10315","herb_small->non_herb_small",214.802385691463,29,54
"10316","non_herb_small->herb_small",214.81324886417,29,77
"10317","non_herb_small->non_herb_large",214.848044024849,29,20
"10318","herb_small->non_herb_small",214.861811464693,29,55
"10319","non_herb_small->herb_small",214.880518512157,29,78
"10320","herb_large->herb_small",214.888269810828,29,7
"10321","non_herb_small->herb_small",214.980722614604,29,79
"10322","non_herb_small->herb_small",214.981276097867,29,80
"10323","non_herb_large->non_herb_small",214.991811660371,29,41
"10324","non_herb_large->herb_large",215.068543092199,29,11
"10325","non_herb_small->herb_small",215.070146668726,29,81
"10326","herb_small->non_herb_small",215.074547976464,29,56
"10327","herb_small->non_herb_small",215.104720884813,29,57
"10328","herb_small->non_herb_small",215.119198038464,29,58
"10329","herb_small->non_herb_small",215.236016871713,29,59
"10330","herb_small->non_herb_small",215.269085175095,29,60
"10331","herb_small->non_herb_small",215.351546530786,29,61
"10332","herb_small->herb_large",215.455165208775,29,15
"10333","non_herb_small->herb_small",215.465128341609,29,82
"10334","non_herb_small->herb_small",215.466754359702,29,83
"10335","non_herb_small->non_herb_large",215.485679116362,29,21
"10336","non_herb_large->herb_large",215.564627360091,29,12
"10337","non_herb_small->non_herb_large",215.571588633827,29,22
"10338","non_herb_small->herb_small",215.603265070066,29,84
"10339","herb_large->herb_small",215.63354579661,29,8
"10340","herb_small->herb_large",215.661679182412,29,16
"10341","non_herb_small->herb_small",215.673668245963,29,85
"10342","non_herb_small->non_herb_large",215.676802954718,29,23
"10343","non_herb_large->non_herb_small",215.691351600033,29,42
"10344","herb_small->non_herb_small",215.695834151016,29,62
"10345","non_herb_small->herb_small",215.736972848789,29,86
"10346","herb_small->herb_large",215.745760671226,29,17
"10347","non_herb_small->herb_small",215.800554169077,29,87
"10348","herb_small->non_herb_small",215.808108779489,29,63
"10349","non_herb_small->herb_small",215.820222731287,29,88
"10350","non_herb_small->herb_small",215.932959252785,29,89
"10351","herb_small->non_herb_small",215.970600810233,29,64
"10352","non_herb_small->non_herb_large",215.975008061905,29,24
"10353","non_herb_small->herb_small",215.984138891773,29,90
"10354","herb_small->non_herb_small",216.003034262976,29,65
"10355","herb_small->non_herb_small",216.018068826759,29,66
"10356","non_herb_small->herb_small",216.027381465434,29,91
"10357","non_herb_small->herb_small",216.085904695517,29,92
"10358","non_herb_small->herb_small",216.091815712098,29,93
"10359","non_herb_small->herb_small",216.126016425814,29,94
"10360","non_herb_small->herb_small",216.141154864194,29,95
"10361","non_herb_large->non_herb_small",216.185298023004,29,43
"10362","herb_small->non_herb_small",216.19815904521,29,67
"10363","non_herb_large->non_herb_small",216.228655181916,29,44
"10364","herb_small->non_herb_small",216.233333913283,29,68
"10365","non_herb_small->herb_small",216.256208991677,29,96
"10366","non_herb_small->herb_small",216.258410318063,29,97
"10367","non_herb_large->non_herb_small",216.287338633024,29,45
"10368","herb_small->non_herb_small",216.326326337684,29,69
"10369","herb_small->herb_large",216.326741144493,29,18
"10370","non_herb_small->herb_small",216.377570088661,29,98
"10371","non_herb_small->herb_small",216.401230245058,29,99
"10372","non_herb_small->herb_small",216.430855275146,29,100
"10373","non_herb_large->non_herb_small",216.459082908443,29,46
"10374","herb_large->herb_small",216.509438111649,29,9
"10375","herb_large->herb_small",216.607020013702,29,10
"10376","non_herb_large->herb_large",216.627564896269,29,13
"10377","herb_small->non_herb_small",216.639899990832,29,70
"10378","herb_small->non_herb_small",216.656529751207,29,71
"10379","non_herb_small->herb_small",216.762994781719,29,101
"10380","herb_small->non_herb_small",216.792524593262,29,72
"10381","non_herb_large->herb_large",216.800478938397,29,14
"10382","herb_small->non_herb_small",216.833532053869,29,73
"10383","herb_small->non_herb_small",216.840888718807,29,74
"10384","herb_small->non_herb_small",216.84431965332,29,75
"10385","herb_small->non_herb_small",216.849316257677,29,76
"10386","herb_small->non_herb_small",216.851247480061,29,77
"10387","herb_small->herb_large",216.89511846251,29,19
"10388","non_herb_small->herb_small",216.896016085401,29,102
"10389","non_herb_small->herb_small",216.922758251069,29,103
"10390","non_herb_small->herb_small",216.931877016193,29,104
"10391","herb_small->herb_large",216.951133343312,29,20
"10392","herb_small->herb_large",216.96074318415,29,21
"10393","non_herb_small->non_herb_large",216.976907553224,29,25
"10394","non_herb_large->non_herb_small",216.980492436269,29,47
"10395","non_herb_large->non_herb_small",217.020840361428,29,48
"10396","herb_small->non_herb_small",217.039033773844,29,78
"10397","non_herb_large->non_herb_small",217.077772696674,29,49
"10398","non_herb_large->non_herb_small",217.130160557096,29,50
"10399","non_herb_small->non_herb_large",217.14593875019,29,26
"10400","non_herb_small->herb_small",217.146016654249,29,105
"10401","non_herb_large->non_herb_small",217.147562535754,29,51
"10402","non_herb_small->herb_small",217.149715864593,29,106
"10403","non_herb_small->non_herb_large",217.158179646555,29,27
"10404","non_herb_small->non_herb_large",217.159650446853,29,28
"10405","non_herb_large->non_herb_small",217.168857026353,29,52
"10406","non_herb_large->herb_large",217.17500662017,29,15
"10407","herb_small->non_herb_small",217.18036903175,29,79
"10408","herb_small->non_herb_small",217.20523120487,29,80
"10409","non_herb_large->non_herb_small",217.221905681986,29,53
"10410","non_herb_small->herb_small",217.257421985802,29,107
"10411","herb_small->non_herb_small",217.373191407203,29,81
"10412","herb_small->herb_large",217.403783386421,29,22
"10413","non_herb_small->herb_small",217.41106534338,29,108
"10414","herb_small->non_herb_small",217.428310783993,29,82
"10415","non_herb_small->herb_small",217.433425064897,29,109
"10416","non_herb_small->herb_small",217.447259750411,29,110
"10417","non_herb_small->herb_small",217.454649961265,29,111
"10418","non_herb_small->herb_small",217.465382839347,29,112
"10419","non_herb_small->herb_small",217.482610220562,29,113
"10420","non_herb_small->non_herb_large",217.490506088442,29,29
"10421","non_herb_small->non_herb_large",217.555118983761,29,30
"10422","herb_small->non_herb_small",217.576780492161,29,83
"10423","non_herb_small->herb_small",217.601982993794,29,114
"10424","non_herb_small->herb_small",217.623112414162,29,115
"10425","herb_small->non_herb_small",217.623704698988,29,84
"10426","non_herb_large->herb_large",217.624051010808,29,16
"10427","herb_large->herb_small",217.627743934327,29,11
"10428","herb_small->non_herb_small",217.628372784706,29,85
"10429","non_herb_small->herb_small",217.632050758267,29,116
"10430","herb_large->herb_small",217.636043814412,29,12
"10431","herb_small->non_herb_small",217.637089874776,29,86
"10432","non_herb_small->herb_small",217.649634661631,29,117
"10433","non_herb_large->non_herb_small",217.674582394576,29,54
"10434","non_herb_small->herb_small",217.710200992543,29,118
"10435","non_herb_small->herb_small",217.720981494912,29,119
"10436","non_herb_small->herb_small",217.72736531044,29,120
"10437","non_herb_small->herb_small",217.736079873764,29,121
"10438","herb_large->herb_small",217.739147975424,29,13
"10439","herb_small->non_herb_small",217.744352830863,29,87
"10440","herb_small->herb_large",217.748373842001,29,23
"10441","herb_large->herb_small",217.754082062198,29,14
"10442","non_herb_small->herb_small",217.758148130235,29,122
"10443","herb_small->herb_large",217.760891685983,29,24
"10444","herb_small->non_herb_small",217.77007360032,29,88
"10445","non_herb_large->non_herb_small",217.780820807726,29,55
"10446","herb_small->herb_large",217.792885211441,29,25
"10447","non_herb_small->herb_small",217.812759370404,29,123
"10448","herb_small->non_herb_small",217.822957331283,29,89
"10449","non_herb_large->herb_large",217.826177950122,29,17
"10450","non_herb_large->non_herb_small",217.826983898317,29,56
"10451","herb_small->non_herb_small",217.830231366088,29,90
"10452","non_herb_small->herb_small",217.835565754765,29,124
"10453","non_herb_small->herb_small",217.839595953916,29,125
"10454","herb_large->herb_small",37.6276575578071,30,1
"10455","herb_large->herb_small",58.9327032956199,30,2
"10456","herb_small->non_herb_small",80.4490072270126,30,1
"10457","herb_small->non_herb_small",84.6893048718736,30,2
"10458","non_herb_small->herb_small",95.2767262165129,30,1
"10459","herb_small->non_herb_small",100.574718819477,30,3
"10460","non_herb_small->non_herb_large",117.107792390424,30,1
"10461","non_herb_large->non_herb_small",126.894572364143,30,1
"10462","non_herb_small->herb_small",132.336462045272,30,2
"10463","non_herb_large->herb_large",133.325010347839,30,1
"10464","herb_small->non_herb_small",135.854277250349,30,4
"10465","herb_large->non_herb_large",138.627915675074,30,1
"10466","non_herb_small->herb_small",143.367687551312,30,3
"10467","herb_small->herb_large",143.79550520368,30,1
"10468","non_herb_large->non_herb_small",148.536611681818,30,2
"10469","non_herb_large->non_herb_small",148.746148741367,30,3
"10470","non_herb_large->non_herb_small",152.251547680263,30,4
"10471","herb_large->non_herb_large",153.484771701645,30,2
"10472","herb_small->herb_large",155.836585156614,30,2
"10473","non_herb_large->non_herb_small",156.685544449887,30,5
"10474","non_herb_small->non_herb_large",159.719665440266,30,2
"10475","non_herb_large->non_herb_small",160.25512035606,30,6
"10476","herb_small->non_herb_small",161.522525596587,30,5
"10477","non_herb_small->herb_small",166.090192670954,30,4
"10478","herb_small->non_herb_small",167.75492515685,30,6
"10479","non_herb_small->herb_small",167.842643817733,30,5
"10480","non_herb_large->non_herb_small",167.909018226271,30,7
"10481","herb_small->non_herb_small",168.83171667919,30,7
"10482","non_herb_small->herb_small",170.626953125213,30,6
"10483","herb_small->non_herb_small",170.755227475838,30,8
"10484","herb_small->herb_large",171.088066998225,30,3
"10485","non_herb_small->herb_small",171.325645030704,30,7
"10486","non_herb_small->non_herb_large",171.638880221572,30,3
"10487","herb_small->herb_large",174.436612507319,30,4
"10488","non_herb_small->herb_small",174.900453339316,30,8
"10489","non_herb_small->herb_small",176.368620203849,30,9
"10490","herb_large->herb_small",180.336069392423,30,3
"10491","herb_small->non_herb_small",180.470542158772,30,9
"10492","non_herb_large->non_herb_small",181.17685626806,30,8
"10493","herb_small->herb_large",183.174354515218,30,5
"10494","non_herb_small->non_herb_large",183.677866614617,30,4
"10495","herb_large->herb_small",185.896623929316,30,4
"10496","herb_small->non_herb_small",186.438776952081,30,10
"10497","non_herb_large->non_herb_small",186.730991263165,30,9
"10498","non_herb_large->non_herb_small",187.283497850283,30,10
"10499","non_herb_small->herb_small",187.290752676959,30,10
"10500","non_herb_small->herb_small",187.602167924052,30,11
"10501","herb_small->non_herb_small",187.84317912218,30,11
"10502","herb_small->non_herb_small",188.166166009332,30,12
"10503","herb_small->non_herb_small",189.540777887992,30,13
"10504","herb_small->non_herb_small",191.113647657315,30,14
"10505","herb_small->non_herb_small",191.251167727841,30,15
"10506","herb_small->non_herb_small",191.492713122603,30,16
"10507","herb_small->non_herb_small",191.748787269273,30,17
"10508","herb_small->non_herb_small",192.231344987561,30,18
"10509","non_herb_large->non_herb_small",192.251080688939,30,11
"10510","non_herb_small->non_herb_large",193.181323407011,30,5
"10511","non_herb_small->herb_small",193.285854460175,30,12
"10512","non_herb_small->herb_small",193.530172953025,30,13
"10513","non_herb_large->non_herb_small",193.589101393292,30,12
"10514","non_herb_large->herb_large",193.836949228574,30,2
"10515","herb_small->non_herb_small",194.244949106399,30,19
"10516","non_herb_large->herb_large",194.502259348265,30,3
"10517","herb_large->herb_small",194.708508295692,30,5
"10518","non_herb_large->non_herb_small",194.828910479153,30,13
"10519","non_herb_large->non_herb_small",195.015331917654,30,14
"10520","herb_small->non_herb_small",195.186402881349,30,20
"10521","herb_small->herb_large",196.238757868276,30,6
"10522","herb_small->non_herb_small",196.269670881165,30,21
"10523","non_herb_small->herb_small",196.345377217474,30,14
"10524","herb_small->non_herb_small",196.538902789977,30,22
"10525","non_herb_large->non_herb_small",196.948415800032,30,15
"10526","herb_small->non_herb_small",197.167141471466,30,23
"10527","herb_large->non_herb_large",197.37191795542,30,3
"10528","herb_large->herb_small",197.606752200589,30,6
"10529","non_herb_small->herb_small",197.688194516812,30,15
"10530","non_herb_small->non_herb_large",197.834701576749,30,6
"10531","herb_large->non_herb_large",197.935487043478,30,4
"10532","non_herb_small->non_herb_large",197.986586386192,30,7
"10533","herb_small->non_herb_large",198.299942635387,30,1
"10534","herb_small->non_herb_small",198.413809228648,30,24
"10535","herb_large->herb_small",198.672704313446,30,7
"10536","herb_small->non_herb_small",198.818449561489,30,25
"10537","non_herb_large->non_herb_small",199.134847571815,30,16
"10538","herb_small->non_herb_small",199.406223350452,30,26
"10539","non_herb_small->herb_small",200.088570219012,30,16
"10540","non_herb_small->herb_small",200.433215190263,30,17
"10541","non_herb_large->non_herb_small",200.460442508019,30,17
"10542","non_herb_small->herb_small",200.755323307783,30,18
"10543","non_herb_small->herb_small",201.2515017183,30,19
"10544","herb_small->non_herb_small",201.399092919413,30,27
"10545","non_herb_large->non_herb_small",201.44843177156,30,18
"10546","non_herb_large->non_herb_small",201.670592144764,30,19
"10547","herb_small->non_herb_small",201.811336292252,30,28
"10548","herb_small->non_herb_small",202.128441030622,30,29
"10549","non_herb_large->non_herb_small",202.354139946661,30,20
"10550","non_herb_large->non_herb_small",202.488164116761,30,21
"10551","non_herb_large->non_herb_small",202.565062371454,30,22
"10552","herb_small->non_herb_small",202.67962305608,30,30
"10553","herb_small->non_herb_small",202.687540148491,30,31
"10554","non_herb_small->non_herb_large",202.768082037751,30,8
"10555","herb_small->non_herb_small",202.878924248611,30,32
"10556","non_herb_large->non_herb_small",202.95178828075,30,23
"10557","non_herb_small->herb_small",203.12986139947,30,20
"10558","non_herb_small->non_herb_large",203.152936690042,30,9
"10559","non_herb_small->herb_small",203.192522120668,30,21
"10560","non_herb_large->non_herb_small",203.209487737213,30,24
"10561","non_herb_small->herb_small",203.439074144208,30,22
"10562","non_herb_large->non_herb_small",203.851945608518,30,25
"10563","herb_small->herb_large",203.954238713604,30,7
"10564","non_herb_small->herb_small",204.342834959518,30,23
"10565","non_herb_small->non_herb_large",204.345672086226,30,10
"10566","non_herb_large->non_herb_small",204.406841821803,30,26
"10567","herb_small->non_herb_small",204.551137703603,30,33
"10568","herb_small->herb_large",204.796865709826,30,8
"10569","herb_small->non_herb_small",204.956303933305,30,34
"10570","herb_small->non_herb_small",205.057888875639,30,35
"10571","non_herb_large->non_herb_small",205.218863395844,30,27
"10572","non_herb_small->herb_small",205.41481971367,30,24
"10573","non_herb_small->non_herb_large",205.532068691297,30,11
"10574","herb_small->non_herb_small",205.666320587266,30,36
"10575","non_herb_large->non_herb_small",205.703181018434,30,28
"10576","herb_small->non_herb_small",205.766861409131,30,37
"10577","non_herb_small->herb_small",205.773485385745,30,25
"10578","herb_small->non_herb_small",205.80014414237,30,38
"10579","herb_small->non_herb_small",205.808553265391,30,39
"10580","herb_small->non_herb_small",205.82993345865,30,40
"10581","non_herb_small->herb_small",205.929457695974,30,26
"10582","herb_small->non_herb_small",206.011153675099,30,41
"10583","herb_small->non_herb_small",206.145166407386,30,42
"10584","non_herb_large->non_herb_small",206.148550063232,30,29
"10585","herb_small->herb_large",206.159321132033,30,9
"10586","herb_small->herb_large",206.318373966073,30,10
"10587","non_herb_small->herb_small",206.381971029298,30,27
"10588","herb_small->non_herb_small",206.421329486612,30,43
"10589","non_herb_small->herb_small",206.92045032779,30,28
"10590","non_herb_large->non_herb_small",206.974313717444,30,30
"10591","herb_small->non_herb_small",207.051287920623,30,44
"10592","herb_small->non_herb_small",207.065188971016,30,45
"10593","herb_small->non_herb_small",207.092287605993,30,46
"10594","herb_large->non_herb_large",207.15391750312,30,5
"10595","non_herb_small->herb_small",207.506885240493,30,29
"10596","non_herb_small->non_herb_large",207.620375136743,30,12
"10597","non_herb_small->herb_small",207.971461846636,30,30
"10598","non_herb_large->non_herb_small",208.134483796303,30,31
"10599","herb_small->non_herb_small",208.283196592073,30,47
"10600","herb_small->non_herb_small",208.378880636982,30,48
"10601","non_herb_large->non_herb_small",208.517927171752,30,32
"10602","herb_large->herb_small",208.51878317933,30,8
"10603","non_herb_small->herb_small",208.695336471265,30,31
"10604","herb_small->non_herb_small",208.737481550712,30,49
"10605","herb_large->herb_small",208.865554611506,30,9
"10606","non_herb_large->herb_large",208.878551954614,30,4
"10607","non_herb_small->non_herb_large",208.974401365936,30,13
"10608","herb_small->non_herb_small",209.168819880996,30,50
"10609","non_herb_large->non_herb_small",209.457841201973,30,33
"10610","non_herb_small->herb_small",209.494371252668,30,32
"10611","herb_large->non_herb_large",209.608294625019,30,6
"10612","herb_small->herb_large",209.698732640898,30,11
"10613","herb_small->non_herb_small",209.770283393057,30,51
"10614","non_herb_small->non_herb_large",209.919857688217,30,14
"10615","herb_small->herb_large",209.934984932555,30,12
"10616","non_herb_small->herb_small",210.250772647479,30,33
"10617","non_herb_small->herb_small",210.282867274574,30,34
"10618","non_herb_small->herb_small",210.37988875272,30,35
"10619","herb_small->herb_large",210.599758765571,30,13
"10620","non_herb_small->herb_small",210.739870256576,30,36
"10621","non_herb_small->herb_small",210.771180603439,30,37
"10622","non_herb_small->herb_small",210.802443729198,30,38
"10623","non_herb_small->herb_small",210.811039452454,30,39
"10624","non_herb_small->non_herb_large",210.958503049032,30,15
"10625","non_herb_large->non_herb_small",211.025670402403,30,34
"10626","herb_small->non_herb_small",211.051631509641,30,52
"10627","herb_small->non_herb_small",211.098021411227,30,53
"10628","non_herb_small->herb_small",211.271176837426,30,40
"10629","non_herb_small->herb_small",211.38468348716,30,41
"10630","non_herb_large->non_herb_small",211.537589482753,30,35
"10631","herb_small->non_herb_small",211.66979174965,30,54
"10632","herb_large->herb_small",211.68528092504,30,10
"10633","herb_small->non_herb_small",211.770248654364,30,55
"10634","non_herb_small->herb_small",211.788124418165,30,42
"10635","non_herb_large->herb_large",211.818721229303,30,5
"10636","non_herb_large->non_herb_small",211.853312167259,30,36
"10637","herb_small->non_herb_small",211.87726405126,30,56
"10638","herb_small->herb_large",211.881814726834,30,14
"10639","non_herb_small->herb_small",212.022832838084,30,43
"10640","herb_small->non_herb_small",212.045911065575,30,57
"10641","non_herb_small->herb_small",212.050700453796,30,44
"10642","herb_small->non_herb_small",212.060420473764,30,58
"10643","non_herb_small->non_herb_large",212.08243255968,30,16
"10644","non_herb_large->non_herb_small",212.128899826858,30,37
"10645","non_herb_large->non_herb_small",212.181650631163,30,38
"10646","non_herb_small->herb_small",212.198814840862,30,45
"10647","non_herb_small->non_herb_large",212.298482836201,30,17
"10648","non_herb_small->herb_small",212.349928713075,30,46
"10649","non_herb_small->non_herb_large",212.408739659778,30,18
"10650","non_herb_small->herb_small",212.469598746161,30,47
"10651","herb_small->non_herb_small",212.471494471957,30,59
"10652","non_herb_small->herb_small",212.530482943745,30,48
"10653","non_herb_small->non_herb_large",212.549742475829,30,19
"10654","non_herb_small->herb_small",212.650134328084,30,49
"10655","herb_small->non_herb_small",212.654183769073,30,60
"10656","non_herb_small->herb_small",212.658089007855,30,50
"10657","non_herb_large->herb_large",212.887417177622,30,6
"10658","herb_small->non_herb_small",212.916702159856,30,61
"10659","non_herb_small->herb_small",212.931528501335,30,51
"10660","non_herb_small->herb_small",212.954419100189,30,52
"10661","non_herb_large->non_herb_small",213.076629445261,30,39
"10662","non_herb_small->herb_small",213.077504545463,30,53
"10663","herb_small->non_herb_small",213.116839281626,30,62
"10664","herb_small->non_herb_small",213.136404175713,30,63
"10665","non_herb_small->herb_small",213.145318390855,30,54
"10666","non_herb_small->herb_small",213.195905393753,30,55
"10667","herb_small->non_herb_small",213.340288804218,30,64
"10668","non_herb_large->non_herb_small",213.415091048393,30,40
"10669","non_herb_small->non_herb_large",213.446902675201,30,20
"10670","non_herb_small->non_herb_large",213.45281631987,30,21
"10671","herb_small->non_herb_small",213.616578458409,30,65
"10672","herb_small->non_herb_small",213.641003176584,30,66
"10673","herb_small->non_herb_small",213.843939438329,30,67
"10674","non_herb_large->non_herb_small",213.863114335108,30,41
"10675","herb_small->non_herb_small",213.888619013926,30,68
"10676","non_herb_small->herb_small",213.902253280987,30,56
"10677","herb_small->herb_large",213.925482819676,30,15
"10678","herb_small->herb_large",213.995821277738,30,16
"10679","herb_large->herb_small",214.008960751971,30,11
"10680","non_herb_small->herb_small",214.095057220321,30,57
"10681","non_herb_large->non_herb_small",214.10687528235,30,42
"10682","herb_small->non_herb_small",214.112344641628,30,69
"10683","non_herb_small->herb_small",214.160572698371,30,58
"10684","herb_small->non_herb_small",214.163058877955,30,70
"10685","non_herb_small->herb_small",214.19336949883,30,59
"10686","non_herb_small->herb_small",214.199292912423,30,60
"10687","non_herb_small->herb_small",214.356561074698,30,61
"10688","herb_small->non_herb_small",214.410068944307,30,71
"10689","non_herb_small->herb_small",214.413028690446,30,62
"10690","herb_small->non_herb_small",214.445261542896,30,72
"10691","non_herb_small->herb_small",214.449646476847,30,63
"10692","non_herb_small->herb_small",214.584238896989,30,64
"10693","non_herb_large->herb_large",214.59149729441,30,7
"10694","non_herb_small->herb_small",214.676948436302,30,65
"10695","herb_small->herb_large",214.828126165776,30,17
"10696","non_herb_small->non_herb_large",214.855392121109,30,22
"10697","non_herb_small->herb_small",214.85818135613,30,66
"10698","herb_small->non_herb_small",214.867415923299,30,73
"10699","non_herb_large->non_herb_small",214.888960242364,30,43
"10700","non_herb_small->herb_small",214.98291562717,30,67
"10701","herb_small->non_herb_small",215.004620291586,30,74
"10702","non_herb_large->non_herb_small",215.060650256749,30,44
"10703","herb_small->herb_large",215.092068315993,30,18
"10704","herb_small->non_herb_small",215.234537119434,30,75
"10705","non_herb_small->herb_small",215.2859394429,30,68
"10706","non_herb_small->herb_small",215.295127483002,30,69
"10707","herb_large->herb_small",215.329509531155,30,12
"10708","non_herb_small->herb_small",215.332988456709,30,70
"10709","herb_small->non_herb_small",215.384268078493,30,76
"10710","herb_small->herb_large",215.388792091752,30,19
"10711","herb_small->non_herb_small",215.415161473077,30,77
"10712","herb_large->herb_small",215.419616747207,30,13
"10713","non_herb_small->herb_small",215.445964299706,30,71
"10714","herb_small->herb_large",215.474339869039,30,20
"10715","non_herb_small->herb_small",215.53542458643,30,72
"10716","non_herb_large->non_herb_small",215.587261872373,30,45
"10717","non_herb_large->herb_large",215.621801545597,30,8
"10718","herb_small->non_herb_small",215.635186292494,30,78
"10719","herb_large->herb_small",215.763854980738,30,14
"10720","herb_small->non_herb_small",215.779764095971,30,79
"10721","herb_small->herb_large",215.902040076778,30,21
"10722","herb_small->non_herb_small",215.913341285247,30,80
"10723","non_herb_large->herb_large",215.923986246042,30,9
"10724","herb_small->non_herb_small",215.978230476201,30,81
"10725","herb_small->non_herb_small",215.991920537979,30,82
"10726","non_herb_small->herb_small",216.041351561647,30,73
"10727","herb_small->herb_large",216.088226449927,30,22
"10728","herb_small->non_herb_small",216.096445009051,30,83
"10729","non_herb_small->herb_small",216.103043742382,30,74
"10730","herb_small->herb_large",216.130446401548,30,23
"10731","non_herb_small->herb_small",216.206411115014,30,75
"10732","non_herb_small->herb_small",216.226199252842,30,76
"10733","herb_small->non_herb_small",216.230931577481,30,84
"10734","herb_small->non_herb_small",216.259871798323,30,85
"10735","non_herb_large->non_herb_small",216.269590546012,30,46
"10736","herb_small->non_herb_small",216.27075259256,30,86
"10737","herb_small->non_herb_small",216.285843647245,30,87
"10738","herb_small->non_herb_small",216.322831740982,30,88
"10739","herb_small->herb_large",216.39113046526,30,24
"10740","herb_small->non_herb_small",216.399817020714,30,89
"10741","herb_small->non_herb_small",216.400045761514,30,90
"10742","non_herb_small->herb_small",216.430019765268,30,77
"10743","non_herb_large->non_herb_small",216.474107795041,30,47
"10744","non_herb_large->herb_large",216.478907219749,30,10
"10745","herb_small->non_herb_small",216.527475162473,30,91
"10746","non_herb_large->herb_large",216.547109909094,30,11
"10747","herb_small->non_herb_small",216.559012178085,30,92
"10748","non_herb_small->herb_small",216.566185351668,30,78
"10749","non_herb_large->non_herb_small",216.568578692669,30,48
"10750","non_herb_small->herb_small",216.609403658407,30,79
"10751","herb_small->herb_large",216.613048020288,30,25
"10752","non_herb_small->non_herb_large",216.63475086868,30,23
"10753","herb_small->non_herb_small",216.639750579569,30,93
"10754","non_herb_large->non_herb_small",216.651310727804,30,49
"10755","non_herb_small->herb_small",216.669240174876,30,80
"10756","non_herb_small->herb_small",216.741028852576,30,81
"10757","non_herb_small->herb_small",216.761449956046,30,82
"10758","non_herb_large->herb_large",216.800875036603,30,12
"10759","non_herb_large->non_herb_small",216.807466489299,30,50
"10760","herb_small->non_herb_small",216.809677978391,30,94
"10761","herb_small->non_herb_small",216.812184032227,30,95
"10762","non_herb_small->herb_small",216.817057444367,30,83
"10763","non_herb_large->non_herb_small",216.830350843274,30,51
"10764","non_herb_large->non_herb_small",216.848104013109,30,52
"10765","non_herb_small->herb_small",216.860213184389,30,84
"10766","non_herb_small->herb_small",216.868923993572,30,85
"10767","non_herb_small->non_herb_large",216.869936922888,30,24
"10768","non_herb_small->herb_small",216.884786801085,30,86
"10769","herb_small->herb_large",216.904107815911,30,26
"10770","non_herb_small->herb_small",216.915662078069,30,87
"10771","herb_small->non_herb_small",216.918561893828,30,96
"10772","non_herb_small->herb_small",216.980425178082,30,88
"10773","herb_small->non_herb_small",217.024288863097,30,97
"10774","non_herb_large->non_herb_small",217.061163467847,30,53
"10775","herb_small->non_herb_small",217.078591621576,30,98
"10776","non_herb_small->herb_small",217.083349731892,30,89
"10777","herb_small->non_herb_small",217.084281504108,30,99
"10778","herb_small->non_herb_small",217.098928385752,30,100
