"","Condition_Met"
"Ovibos_moschatus",1
"Capricornis_swinhoei",1
"Capricornis_sumatraensis",1
"Naemorhedus_caudatus",1
"Naemorhedus_goral",1
"Naemorhedus_baileyi",1
"Naemorhedus_griseus",1
"Ovis_orientalis",1
"Ovis_ammon",1
"Ovis_nivicola",1
"Ovis_canadensis",1
"Ovis_dalli",1
"Nilgiritragus_hylocrius",1
"Budorcas_taxicolor",1
"Capra_caucasica",1
"Capra_cylindricornis",1
"Capra_aegagrus",1
"Capra_falconeri",1
"Capra_walie",1
"Capra_nubiana",1
"Capra_pyrenaica",1
"Capra_ibex",1
"Capra_sibirica",1
"Hemitragus_jemlahicus",1
"Hemitragus_cedrensis",1
"Pseudois_nayaur",1
"Arabitragus_jayakari",1
"Ammotragus_lervia",1
"Myotragus_balearicus",1
"Rupicapra_pyrenaica",1
"Rupicapra_rupicapra",1
"Oreamnos_americanus",1
"Oreamnos_harringtoni",1
"Pantholops_hodgsonii",1
"Alces_alces",1
"Cervalces_scotti",1
"Rangifer_tarandus",1
"Blastocerus_dichotomus",1
"Ozotoceros_bezoarticus",1
"Hippocamelus_antisensis",1
"Hippocamelus_bisulcus",1
"Pudu_puda",0
"Pudu_mephistophiles",0
"Mazama_nemorivaga",1
"Mazama_gouazoubira",1
"Mazama_rufina",1
"Mazama_americana",1
"Mazama_pandora",1
"Mazama_bororo",1
"Mazama_nana",1
"Odocoileus_hemionus",1
"Odocoileus_virginianus",1
"Navahoceros_fricki",1
"Capreolus_capreolus",1
"Capreolus_miyakoensis",1
"Capreolus_pygargus",1
"Hydropotes_inermis",1
"Muntiacus_crinifrons",1
"Muntiacus_feae",1
"Muntiacus_vuquangensis",1
"Muntiacus_putaoensis",1
"Muntiacus_reevesi",1
"Muntiacus_vaginalis",1
"Muntiacus_muntjak",1
"Dicroceros_spA",1
"Elaphodus_cephalophus",1
"Candiacervus_dorothensis",1
"Candiacervus_cretensis",1
"Praemegaceros_cazioti",1
"Megaloceros_giganteus",1
"Sinomegaceros_yabei",1
"Sinomegaceros_ordosianus",1
"Megaceroides_algericus",1
"Elaphurus_davidianus",1
"Cervus_elaphus",1
"Cervus_canadensis",1
"Cervus_nippon",1
"Cervus_astylodon",1
"Cervus_albirostris",1
"Rusa_timorensis",1
"Rusa_unicolor",1
"Rusa_alfredi",1
"Rucervus_schomburgki",1
"Rucervus_duvaucelii",1
"Rucervus_eldii",1
"Axis_kuhlii",1
"Axis_porcinus",1
"Axis_axis",1
"Dama_dama",1
"Dama_mesopotamica",1
"Moschus_leucogaster",1
"Moschus_berezovskii",0
"Moschus_anhuiensis",0
"Moschus_chrysogaster",1
"Moschus_fuscus",1
"Moschus_moschiferus",1
"Antilocapra_americana",1
"Capromeryx_minor",1
"Stockoceros_conklingi",1
"Tetrameryx_shuleri",1
"Giraffa_camelopardalis",1
"Okapia_johnstoni",1
"Tragulus_kanchil",0
"Tragulus_javanicus",0
"Tragulus_napu",0
"Tragulus_nigricans",0
"Hyemoschus_aquaticus",1
"Moschiola_indica",0
"Moschiola_meminna",0
"Choeropsis_liberiensis",1
"Hexaprotodon_sivalensis",1
"Hippopotamus_madagascariensis",1
"Hippopotamus_amphibius",1
"Babyrousa_celebensis",0
"Babyrousa_babyrussa",1
"Phacochoerus_aethiopicus",0
"Phacochoerus_africanus",0
"Hylochoerus_meinertzhageni",1
"Potamochoerus_larvatus",0
"Potamochoerus_porcus",0
"Sus_cebifrons",0
"Sus_barbatus",0
"Sus_brachgnathus",0
"Sus_verrucosus",0
"Sus_celebensis",0
"Sus_scrofa",0
"Sus_philippensis",0
"Porcula_salvania",0
"Catagonus_stenocephalus",1
"Catagonus_wagneri",1
"Pecari_tajacu",1
"Mylohyus_nasutus",1
"Platygonus_compressus",1
"Tayassu_pecari",1
"Camelus_dromedarius",1
"Camelus_ferus",1
"Camelops_hesternus",1
"Lama_guanicoe",1
"Vicugna_vicugna",1
"Hemiauchenia_macrocephala",1
"Hemiauchenia_paradoxa",1
"Palaeolama_major",1
"Palaeolama_mirifica",1
"Palaeolama_weddeli",1
"Atelerix_algirus",0
"Atelerix_frontalis",0
"Atelerix_sclateri",0
"Atelerix_albiventris",0
"Paraechinus_aethiopicus",0
"Paraechinus_hypomelas",0
"Paraechinus_micropus",0
"Paraechinus_nudiventris",0
"Hemiechinus_auritus",0
"Hemiechinus_collaris",0
"Mesechinus_dauuricus",0
"Mesechinus_hughi",0
"Erinaceus_roumanicus",0
"Erinaceus_concolor",0
"Erinaceus_europaeus",0
"Erinaceus_amurensis",0
"Hylomys_suillus",0
"Hylomys_parvus",0
"Neotetracus_sinensis",0
"Neohylomys_hainanensis",0
"Echinosorex_gymnura",0
"Podogymnura_truei",0
"Podogymnura_aureospinula",0
"Hylomys_megalotis",0
"Sorex_trowbridgii",0
"Sorex_arizonae",0
"Sorex_saussurei",0
"Sorex_mediopua",0
"Sorex_fumeus",0
"Sorex_ornatus",0
"Sorex_vagrans",0
"Sorex_sonomae",0
"Sorex_pacificus",0
"Sorex_bairdi",0
"Sorex_palustris",0
"Sorex_alaskanus",0
"Sorex_bendirii",0
"Sorex_monticolus",0
"Sorex_neomexicanus",0
"Sorex_hoyi",0
"Sorex_rohweri",0
"Sorex_camtschatica",0
"Sorex_pribilofensis",0
"Sorex_portenkoi",0
"Sorex_jacksoni",0
"Sorex_ugyunak",0
"Sorex_preblei",0
"Sorex_haydeni",0
"Sorex_cinereus",0
"Sorex_longirostris",0
"Sorex_dispar",0
"Sorex_tenellus",0
"Sorex_alpinus",0
"Sorex_bedfordiae",0
"Sorex_excelsus",0
"Sorex_cylindricauda",0
"Sorex_mirabilis",0
"Sorex_roboratus",0
"Sorex_samniticus",0
"Sorex_daphaenodon",0
"Sorex_coronatus",0
"Sorex_antinorii",0
"Sorex_arunchi",0
"Sorex_satunini",0
"Sorex_araneus",0
"Sorex_granarius",0
"Sorex_tundrensis",0
"Sorex_asper",0
"Sorex_arcticus",0
"Sorex_maritimensis",0
"Sorex_raddei",0
