"Binomial.1.2","Condition_Met"
"Blarina_hylophaga",0
"Blarinella_griselda",0
"Blarinella_quadraticauda",0
"Blarinella_wardi",0
"Blarinomys_breviceps",0
"Blastocerus_dichotomus",1
"Bootherium_bombifrons",1
"Boromys_offella",0
"Boromys_torrei",0
"Borungaboodie_hatcheri",0
"Bos_gaurus",1
"Bos_javanicus",1
"Bos_mutus",1
"Bos_primigenius",1
"Bos_sauveli",1
"Boselaphus_tragocamelus",1
"Brachiones_przewalskii",0
"Brachylagus_idahoensis",0
"Brachyprotoma_obtusata",0
"Brachytarsomys_albicauda",0
"Brachytarsomys_villosa",0
"Brachyteles_arachnoides",1
"Brachyteles_hypoxanthus",0
"Brachyuromys_betsileoensis",0
"Brachyuromys_ramirohitra",0
"Bradypus_pygmaeus",0
"Bradypus_torquatus",0
"Bradypus_tridactylus",0
"Bradypus_variegatus",0
"Brotomys_voratus",0
"Brucepattersonius_albinasus",0
"Brucepattersonius_griserufescens",0
"Brucepattersonius_guarani",0
"Brucepattersonius_igniventris",0
"Brucepattersonius_iheringi",0
"Brucepattersonius_misionensis",0
"Brucepattersonius_paradisus",0
"Brucepattersonius_soricinus",0
"Bubalus_arnee",1
"Bubalus_depressicornis",1
"Bubalus_grovesi",1
"Bubalus_mindorensis",1
"Bubalus_palaeokerabau",1
"Bubalus_quarlesi",1
"Budorcas_taxicolor",1
"Bullimus_bagobus",0
"Bullimus_gamay",0
"Bullimus_luzonicus",0
"Bunolagus_monticularis",0
"Bunomys_andrewsi",0
"Bunomys_chrysocomus",0
"Bunomys_coelestis",0
"Bunomys_fratrorum",0
"Bunomys_penitus",0
"Bunomys_prolatus",0
"Burramys_parvus",0
"Cabassous_centralis",0
"Cabassous_chacoensis",0
"Cabassous_tatouay",0
"Cabassous_unicinctus",0
"Cacajao_calvus",0
"Cacajao_hosomi",0
"Caenolestes_caniventer",0
"Caenolestes_condorensis",0
"Caenolestes_convelatus",0
"Caenolestes_fuliginosus",0
"Caenolestes_sangay",0
"Caipora_bambuiorum",0
"Calcochloris_obtusirostris",0
"Calcochloris_tytonis",0
"Callicebus_aureipalatii",0
"Callicebus_baptista",0
"Callicebus_barbarabrownae",0
"Callicebus_bernhardi",0
"Callicebus_brunneus",0
"Callicebus_caligatus",0
"Callicebus_caquetensis",0
"Callicebus_cinerascens",0
"Callicebus_coimbrai",0
"Callicebus_cupreus",0
"Callicebus_discolor",0
"Callicebus_donacophilus",0
"Callicebus_dubius",0
"Callicebus_hoffmannsi",0
"Callicebus_lucifer",0
"Callicebus_lugens",0
"Callicebus_medemi",0
"Callicebus_melanochir",0
"Callicebus_modestus",0
"Callicebus_moloch",0
"Callicebus_nigrifrons",0
"Callicebus_oenanthe",0
"Callicebus_olallae",0
"Callicebus_ornatus",0
"Callicebus_pallescens",0
"Callicebus_personatus",0
"Callicebus_purinus",0
"Callicebus_regulus",0
"Callicebus_stephennashi",0
"Callicebus_torquatus",0
"Callimico_goeldii",0
"Callistomys_pictus",0
"Callithrix_aurita",0
"Callithrix_flaviceps",0
"Callithrix_geoffroyi",0
"Callithrix_jacchus",0
"Callithrix_kuhlii",0
"Callithrix_penicillata",0
"Callorhinus_ursinus",0
"Callosciurus_adamsi",0
"Callosciurus_albescens",0
"Callosciurus_baluensis",0
"Callosciurus_caniceps",0
"Callosciurus_erythraeus",0
"Callosciurus_finlaysonii",0
"Callosciurus_inornatus",0
"Callosciurus_melanogaster",0
"Callosciurus_nigrovittatus",0
"Callosciurus_notatus",0
"Callosciurus_orestes",0
"Callosciurus_phayrei",0
"Callosciurus_prevostii",0
"Callosciurus_pygerythrus",0
"Callosciurus_quinquestriatus",0
"Callospermophilus_lateralis",0
"Callospermophilus_madrensis",0
"Callospermophilus_saturatus",0
"Calomys_boliviae",0
"Calomys_callidus",0
"Calomys_callosus",0
"Calomys_expulsus",0
"Calomys_fecundus",0
"Calomys_hummelincki",0
"Calomys_laucha",0
"Calomys_lepidus",0
"Calomys_musculinus",0
"Calomys_sorellus",0
"Calomys_tener",0
