"","Taxon","Maximum.vertical.height..meter.","Habit..growth.from.","Extra.floral.nectaries","Leaf.shape","Whole.leaf.length..cm.","Whole.leaf.width..cm.","Rachis.length..mm.","Petiole.length..mm.","Stipules.length..mm.","Stipules.width..mm.","Stipules.phenology","Pairs.of.pinnae","Length.of.pinnae..mm.","Pinnular.rachis.length..cm.","Pair.of.leaflets","Length.of..leaflets..mm.","Width.of..leaflets..mm.","Length.of.basal.primary.leaflets..mm.","Length.of.basal.primary.leaflets..mm..1","Length.of.middle.leaflet..mm.","Width.of.middle.leaflet..mm.","Length.of.largest.leaflet..mm.","Width.of.largest.leaflet..mm.","Length.of.other.primary.leaflets..mm.","Phyllodes","Width.of.other.primary.leaflets..mm.","Phyllode.length..mm.","Phyllode.width..mm.","Fruit.length..cm.","Fruit.width..mm.","Fruit.color","Pod.shape","Pod.margin","Texture.of.pod.valves","Pod.cross.section","Pod.coil","Number.of.coils","Pod.ornamentation","Number.of.pods.per.capitulum","Dehiscence","Type.of.dehiscence","Dispersal.syndrome","Seed.length..cm.","Seed.width..cm.","Seed.accessories","Seed.color","Number.of.seeds.per.fruit","Presence.of.aril","Aril..color.","Presence.of.pulp","Color.pulp","Succulence","Length.of.extrafloral.nectaries..mm.","Width.of.extrafloral.nectaries..mm.","Diameter.of.extra.floral.nectaries..mm.","Presence.of.succulence","Nodulation","Presence.of.tendrils","Habitat.description","Fruit.type","Fruit.shape","Number.of.primary.leaflets","Stipe.length..mm.","Color.contrast","Number.of.fruits.per.inflorescence","Color.of.elaiosome","Presence.of.elaiosome","Seed.diameter..cm.","Fruit.thickness..mm.","Fruit.diameter.mm.","leaf.length.min","leaf.length.max","leaf.length.mean","rachis.length.min","rachis.length.max","rachis.length.mean","pinnae.pair.min","Vertical.height.mean","pinnae.pair.mean","pinnae.length.min","pinnae.length.max","pinnae.length.mean","leaflet.pair.min","leaflet.pair.max","leaflet.pair.mean","leaflet.length.min","leaflet.length.max","leaflet.length.mean","leaflet.width.min","leaflet.width.max","leaflet.width.mean","fruit.length.min","fruit.length.max","fruit.length.mean","fruit.width.min","fruit.width.max","fruit.width.mean","seed.length.min","seed.length.max","seed.length.mean","vertical.height.min","vertical.height.max","vertival.height.mean","Armatures"
"11","Acacia aciphylla","1.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","60.00-120.00","","9.0","2.00-2.50",NA,6,3,25,NA,1,"",3,"",NA,NA,NA,"0.3","","",3,"",1,2,"","",3,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,2,2.5,2.25,0.3,0.3,0.3,1.5,1.5,1.5,0
"12","Acacia acoma","0.5-2.5",1,0,NA,"","","","","","",0,"","","","","","","","","","","","","",0,"","15.00-30.00","","1.5","2.00-3.00",NA,1,NA,2,0,NA,"",3,"",NA,NA,NA,"0.3","","",NA,"",1,2,"","",3,"","","","#Name?",0,"#Name?",0,"(0)","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,1.5,2,3,2.5,0.3,0.3,0.3,0.5,2.5,1.5,0
"13","Acacia acradenia","7.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","40.00-120.00","10.00-30.00","4.1","3.50",3,16,0,5,NA,1,"",23,"",NA,NA,NA,"0.4","0.15","",3,"",1,2,"","",3,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,4.1,4.1,3.5,3.5,3.5,0.4,0.4,0.4,7.5,7.5,7.5,0
"14","Acacia acrionastes","2.0-8.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","90.00-125.00","2.00-5.00","10.0","8.00-10.00",NA,6,3,2,NA,1,"",NA,"",NA,NA,NA,"0.5","","",0,"",1,NA,"","",3,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,8,10,9,0.5,0.5,0.5,2,8,5,0
"15","Acacia acuaria","1.5",1,0,NA,"","","","","","",0,"","","","","","","","","","","","","",0,"","6.00-20.00","","5.0","3.50-5.00",3,1,1,5,NA,0,"1.0",3,"",NA,NA,NA,"0.3","","",NA,"",1,NA,"","",3,"","","","#Name?",0,"#Name?",0,"(0)","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3.5,5,4.25,0.3,0.3,0.3,1.5,1.5,1.5,0
"16","Acacia aculeatissima","0.5",1,0,NA,"","","","","1.00","",NA,"","","","","","","","","","","","","",0,"","5.00-12.00","0.50-1.00","6.0","3.00-4.00",3,26,NA,0,NA,1,"",3,"",NA,NA,NA,"0.4","","",3,"",1,2,"","",3,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,3,4,3.5,0.4,0.4,0.4,0.5,0.5,0.5,0
"17","Acacia aculeiformis","2.0",1,0,NA,"","","","","2.50-4.00","",NA,"","","","","","","","","","","","","",0,"","10.00-25.00","5.00-10.00","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",3,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1
"18","Acacia acuminata","12.0",0,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","50.00-150.00","0.50-9.00","12.5","4.00-7.00",3,26,4,0,NA,1,"",3,"",NA,NA,NA,"0.3-0.6","","",3,"",NA,NA,"","",3,"","","","#Name?",0,"#Name?",0,"(4)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,12.5,12.5,4,7,5.5,0.3,0.6,0.45,12,12,12,0
"19","Acacia acutata","0.5",1,0,NA,"","","","","","",0,"","","","","","","","","","","","","",0,"","4.00-12.00","0.80-2.00","22.0","2.50-3.00",NA,26,1,0,NA,1,"",NA,"",NA,NA,NA,"0.3","","",NA,"",1,NA,"","",3,"","","","#Name?",0,"#Name?",0,"","(1)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,22,22,2.5,3,2.75,0.3,0.3,0.3,0.5,0.5,0.5,1
"20","Acacia adenogonia","1.0-2.0",1,0,NA,"","","","","6.50","",2,"","","","","","","","","","","","","",0,"","5.00-10.00","1.50-4.50","8.5","5.00-6.50",NA,1,1,2,NA,1,"",2,"",NA,NA,NA,"0.6-0.7","","",3,"",1,NA,"","",3,"","","","#Name?",0,"#Name?",0,"(4)","(1)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,8.5,8.5,5,6.5,5.75,0.6,0.7,0.65,1,2,1.5,0
"21","Acacia adinophylla","1.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","3.00-7.00","1.00-2.00","2.0","5.00-7.00",NA,1,NA,0,NA,0,"",NA,"",1,NA,NA,"","","",3,"",1,4,"","",3,"","","","#Name?",0,"#Name?",0,"","(5)","","","","","#Name?","#Name?","0.30","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,5,7,6,NA,NA,NA,1.5,1.5,1.5,0
"22","Acacia adjutrices","0.3-0.7",1,0,NA,"","","","15.00-40.00","","",NA,"1.0","5.00-12.00","","2.0-3.0","5.00-12.00","2.00-4.00","","","","","","","",0,"","50.00-150.00","0.80-2.00","3.0-6.0","4.00-4.50",13,0,2,5,NA,1,"",3,"",NA,NA,NA,"0.3-0.4","0.20-0.25","",0,"",1,4,"","",3,"","","","#Name?",0,"#Name?",0,"","(2)","","0.5-1.0","(1)","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,5,12,8.5,2,3,2.5,5,12,8.5,2,4,3,3,6,4.5,4,4.5,4.25,0.3,0.4,0.35,0.3,0.7,0.5,0
"23","Acacia adnata","",1,0,NA,"","","","","1.00-2.50","",2,"","","","","","","","","","","","","",0,"","4.00-5.00","2.00-3.00","5.0","4.00",3,6,3,2,NA,1,"",23,"",NA,NA,NA,"0.3","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,4,4,0.3,0.3,0.3,NA,NA,NA,0
"24","Acacia adoxa","0.7",1,0,NA,"","","","","0.80-1.20","",NA,"","","","","","","","","","","","","",0,"","2.00-5.00","","2.5-6.0","6.00-7.00",2,6,2,NA,NA,1,"",3,"",1,NA,NA,"0.4","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,6,4.25,6,7,6.5,0.4,0.4,0.4,0.7,0.7,0.7,0
"25","Acacia adsurgens","4.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","6.00-18.00","2.00-4.50","3.5-12.0","2.00-3.50",3,26,NA,2,NA,1,"",NA,"",NA,NA,NA,"0.3-0.5","","",3,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,12,7.75,2,3.5,2.75,0.3,0.5,0.4,4,4,4,0
"26","Acacia adunca","6.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","75.00-140.00","1.50-2.50","13.0-18.0","11.00-12.00",3,6,3,2,NA,1,"",3,"",NA,NA,NA,"0.6","","",0,"",1,4,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,18,15.5,11,12,11.5,0.6,0.6,0.6,6,6,6,0
"27","Acacia aemula","0.2-0.4",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","10.00-110.00","1.00-2.00","3.0-6.0","4.00-5.00",3,1,NA,25,NA,1,"",0,"",NA,NA,NA,"0.4-0.5","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(2)","(2)","","2.0-3.0","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,4.5,4,5,4.5,0.4,0.5,0.45,0.2,0.4,0.3,0
"28","Acacia aestivalis","3.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","60.00-110.00","2.50-7.00","17.0","10.00-22.00",3,6,NA,2,NA,1,"",3,"",1,NA,NA,"0.7-0.9","","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,17,10,22,16,0.7,0.9,0.8,3,3,3,0
"29","Acacia alata","2.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","5.00-70.00","","2.0-8.0","5.00-11.00",NA,1,2,5,1,1,"",2,"",NA,NA,NA,"0.3-0.5","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"(4)","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,5,5,11,8,0.3,0.5,0.4,2,2,2,1
"30","Acacia alaticaulis","4.0",1,0,5,"","","250.00-850.00","5.00","","",NA,"3.0-10.0","25.00-45.00","","7.0-17.0","2.50-9.00","0.90-3.00","","","","","","","",1,"","","","6.0-12.0","11.00-13.00",3,1,1,2,NA,1,"",3,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,250,850,550,3,10,6.5,25,45,35,7,17,12,2.5,9,5.75,0.9,3,1.95,6,12,9,11,13,12,NA,NA,NA,4,4,4,0
"31","Acacia albizioides","",2,0,NA,"","","20.00-180.00","20.00-90.00","","",NA,"2.0-9.0","","","16.0-28.0","6.00-9.00","2.00-25.00","","","","","","","",1,"","","","6.0-8.0","12.00-18.00",NA,NA,NA,NA,NA,NA,"",NA,"",1,NA,NA,"0.9-0.1","0.40-0.45","",0,"",NA,NA,"","",3,"","","","#Name?",0,"#Name?",0,"","(5)","","","(1)","","#Name?","#Name?","","","",NA,NA,NA,20,180,100,2,9,5.5,NA,NA,NA,16,28,22,6,9,7.5,2,25,13.5,6,8,7,12,18,15,0.9,0.1,0.5,NA,NA,NA,1
"32","Acacia alcockii","3.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","60.00-90.00","8.00-21.00","9.0","8.00-17.00",NA,6,1,235,1,1,"",3,"",NA,NA,NA,"0.5-0.6","","",0,"",1,4,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,8,17,12.5,0.5,0.6,0.55,3,3,3,0
"33","Acacia alexandri","1.5-3.0",1,0,NA,"","","","","3.00-4.00","",NA,"","","","","","","","","","","","","",0,"","60.00-130.00","2.50-6.00","7.0","7.00-8.00",3,0,NA,0,NA,1,"",NA,"",NA,NA,NA,"","","",0,"",1,2,"","",NA,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","0.40","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,8,7.5,NA,NA,NA,1.5,3,2.25,1
"34","Acacia alleniana","5.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","120.00-240.00","0.50-0.80","15.0","3.50-5.00",NA,6,1,2,NA,1,"",3,"",NA,NA,NA,"0.4-0.6","0.20-0.25","",3,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,15,3.5,5,4.25,0.4,0.6,0.5,5,5,5,0
"35","Acacia alpina","0.5-2.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","0.15-0.35","8.00-25.00","3.0-8.0","3.00-6.00",2,1,4,NA,NA,0,"",NA,"",NA,NA,NA,"0.3-0.8","0.30-0.60","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(5)","","","","","#Name?","#Name?","3.50-5.00","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,5.5,3,6,4.5,0.3,0.8,0.55,0.5,2,1.25,0
"36","Acacia amanda","0.4-1.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","38.00-124.00","8.00-36.00","4.2-11.0","7.00-13.00",NA,0,0,0,NA,1,"",3,"",NA,NA,NA,"0.6-0.8","","",0,"",0,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,11,7.6,7,13,10,0.6,0.8,0.7,0.4,1,0.7,0
"37","Acacia amblygona","1.0",1,0,NA,"","","","","","",2,"","","","","","","","","","","","","",0,"","4.00-20.00","1.50-4.00","7.0","3.00-5.00",NA,1,1,2,NA,0,"",3,"",NA,NA,NA,"0.3","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,3,5,4,0.3,0.3,0.3,1,1,1,0
"38","Acacia amblyophylla","1.5-4.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","50.00-80.00","5.00-10.00","20.0","10.00-13.00",3,6,13,NA,NA,1,"",3,"",NA,NA,NA,"0.7-0.9","0.55-0.65","",0,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,20,10,13,11.5,0.7,0.9,0.8,1.5,4,2.75,0
"39","Acacia amentifera","3.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","6.00-10.00","1.00-2.50","4.7","4.00",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,4.7,4.7,4,4,4,NA,NA,NA,3,3,3,0
"40","Acacia ammitia","5.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","","",2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0
"41","Acacia ammobia","1.5-7.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","11.00-24.50","4.00-10.00","5.5-11.0","2.00-3.00",3,6,3,NA,NA,1,"",3,"",NA,NA,NA,"0.3-0.4","","",NA,"",1,NA,"","",NA,"","","","#Name?",0,"#Name?",0,"","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,11,8.25,2,3,2.5,0.3,0.4,0.35,1.5,7,4.25,0
